instruction,output
Create a Cypher statement to answer the following question:What are the top 5 highest-grossing movies?,"MATCH (m:Movie) RETURN {movie: m.title, revenue: m.revenue} AS result ORDER BY m.revenue DESC LIMIT 5"
Create a Cypher statement to answer the following question:List all movies in the Science Fiction genre,MATCH (m:Movie)-[:IN_GENRE]->(:Genre {name:'Science Fiction'}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Which movies were produced by Warner Bros.?,MATCH (m:Movie)-[:PRODUCED_BY]->(:Company {name: 'Warner Bros.'}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:What are the top 3 longest movies?,"MATCH (m:Movie) RETURN {movie: m.title, duration: m.duration} AS result ORDER BY m.duration DESC LIMIT 3"
Create a Cypher statement to answer the following question:List all movies that have more than 1000 user ratings,"MATCH (m:Movie)<-[:RATED]-(u:User) WITH m, COUNT(u) AS ratings WHERE ratings > 1000 RETURN {movie: m.title, ratings: ratings} AS result"
Create a Cypher statement to answer the following question:What is the duration of Pulp Fiction?,MATCH (m:Movie {title: 'Pulp Fiction'}) RETURN {duration: m.duration} AS result
Create a Cypher statement to answer the following question:List actors who appeared in The Godfather movie,"MATCH (m:Movie {title: 'The Godfather'})<-[r:ACTED_IN]-(a:Person) RETURN {actor: a.name, role: r.role} AS result"
Create a Cypher statement to answer the following question:Who directed The Shawshank Redemption?,MATCH (m:Movie {title: 'The Shawshank Redemption'})<-[:DIRECTED]-(d:Person) RETURN {director: d.name} AS result
Create a Cypher statement to answer the following question:What is the average rating of the movie Fight Club?,MATCH (m:Movie {title: 'Fight Club'})<-[:RATED]-(u:User) RETURN avg(u.rating) AS averageRating
Create a Cypher statement to answer the following question:List all movies released in 1995,MATCH (m:Movie {year: 1995}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Which movies has Tom Hanks acted in?,MATCH (p:Person {name: 'Tom Hanks'})-[:ACTED_IN]->(m:Movie) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Find all movies in the Drama genre,MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name:'Drama'}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Which actors starred in both The Matrix and The Matrix Reloaded?,"MATCH (a:Person)-[:ACTED_IN]->(m1:Movie {title: 'The Matrix'}), (a)-[:ACTED_IN]->(m2:Movie {title: 'The Matrix Reloaded'}) RETURN {actor: a.name} AS result"
Create a Cypher statement to answer the following question:List all movie titles directed by Quentin Tarantino,MATCH (d:Person {name: 'Quentin Tarantino'})-[:DIRECTED]->(m:Movie) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:What are the top 5 highest rated movies?,"MATCH (m:Movie) RETURN {movie: m.title, rating: m.imdbRating} AS result ORDER BY m.imdbRating DESC LIMIT 5"
Create a Cypher statement to answer the following question:What is the genre of The Matrix?,MATCH (m:Movie {title:'The Matrix'})-[:IN_GENRE]->(g:Genre) RETURN {genre: g.name} AS result
Create a Cypher statement to answer the following question:Who directed Pulp Fiction?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title:'Pulp Fiction'}) RETURN {director: d.name} AS result
Create a Cypher statement to answer the following question:What are the top 5 highest rated movies?,"MATCH (m:Movie) RETURN {movie: m.title, rating: m.imdbRating} AS result ORDER BY m.imdbRating DESC LIMIT 5"
Create a Cypher statement to answer the following question:Who are the actors in The Shawshank Redemption?,MATCH (a:Person)-[:ACTED_IN]->(m:Movie {title:'The Shawshank Redemption'}) RETURN {actor: a.name} AS result
Create a Cypher statement to answer the following question:List all movies released in 1994,MATCH (m:Movie {year:1994}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:What are the top 3 action movies?,MATCH (m:Movie)-[:IN_GENRE]->(:Genre {name:'Action'}) RETURN {movie: m.title} AS result ORDER BY m.imdbRating DESC LIMIT 3
Create a Cypher statement to answer the following question:Who wrote the screenplay for Fight Club?,MATCH (w:Person)-[:WROTE]->(m:Movie {title:'Fight Club'}) RETURN {writer: w.name} AS result
Create a Cypher statement to answer the following question:What is the average rating of all movies?,MATCH (m:Movie) RETURN AVG(m.imdbRating) AS average_rating
Create a Cypher statement to answer the following question:Find all movies directed by Quentin Tarantino,MATCH (d:Person {name:'Quentin Tarantino'})-[:DIRECTED]->(m:Movie) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:List all actors who have worked with Christopher Nolan,MATCH (a:Person)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Person {name:'Christopher Nolan'}) RETURN {actor: a.name} AS result
Create a Cypher statement to answer the following question:List actors in The Matrix,"MATCH (m:Movie {title:'The Matrix'})<-[r:ACTED_IN]-(a) RETURN {actor: a.name, role: r.role} AS result"
Create a Cypher statement to answer the following question:Find the director of Pulp Fiction,MATCH (m:Movie {title: 'Pulp Fiction'})<-[:DIRECTED]-(d) RETURN {director: d.name} AS result
Create a Cypher statement to answer the following question:List all movies released in 1999,MATCH (m:Movie) WHERE m.year = 1999 RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Who are the actors in Fight Club?,"MATCH (m:Movie {title:'Fight Club'})<-[r:ACTED_IN]-(a) RETURN {actor: a.name, role: r.role} AS result"
Create a Cypher statement to answer the following question:What genre is The Godfather?,MATCH (m:Movie {title: 'The Godfather'})-[:IN_GENRE]->(g) RETURN {genre: g.name} AS result
Create a Cypher statement to answer the following question:List all movies with an IMDb rating above 8,"MATCH (m:Movie) WHERE m.imdbRating > 8 RETURN {movie: m.title, rating: m.imdbRating} AS result"
Create a Cypher statement to answer the following question:Show the top 5 highest-grossing movies,"MATCH (m:Movie) RETURN {movie: m.title, boxOffice: m.boxOffice} AS result ORDER BY m.boxOffice DESC LIMIT 5"
Create a Cypher statement to answer the following question:List all movies directed by Quentin Tarantino,MATCH (d:Person {name: 'Quentin Tarantino'})-[:DIRECTED]->(m) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:How many movies has Tom Hanks acted in?,MATCH (a:Person {name: 'Tom Hanks'})-[:ACTED_IN]->(m) RETURN COUNT(m) AS movieCount
Create a Cypher statement to answer the following question:Find movies similar to The Shawshank Redemption,"MATCH (m:Movie {title: 'The Shawshank Redemption'})<-[:RATED]-(u:User)-[:RATED]->(rec:Movie) WITH rec, COUNT(*) AS usersWhoAlsoWatched ORDER BY usersWhoAlsoWatched DESC LIMIT 25 RETURN rec.title AS recommendation, usersWhoAlsoWatched"
Create a Cypher statement to answer the following question:Who directed The Matrix?,MATCH (m:Movie {title: 'The Matrix'})<-[r:DIRECTED]-(d) RETURN {director: d.name} AS result
Create a Cypher statement to answer the following question:What is the runtime of Titanic?,MATCH (m:Movie {title: 'Titanic'}) RETURN {runtime: m.runtime} AS result
Create a Cypher statement to answer the following question:List movies released in 1999,MATCH (m:Movie) WHERE m.year = 1999 RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Find actors who worked with Quentin Tarantino,MATCH (d:Person {name:'Quentin Tarantino'})-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(a:Person) RETURN DISTINCT {actor: a.name} AS result
Create a Cypher statement to answer the following question:List all movies in the Action genre,MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Action'}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Who composed the music for The Lion King?,MATCH (m:Movie {title: 'The Lion King'})<-[:COMPOSED_MUSIC_FOR]-(c) RETURN {composer: c.name} AS result
Create a Cypher statement to answer the following question:Find movies with Tom Hanks,MATCH (a:Person {name: 'Tom Hanks'})-[:ACTED_IN]->(m:Movie) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:Which movies have a rating above 9?,MATCH (m:Movie) WHERE m.imdbRating > 9 RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:List movies with both Brad Pitt and Angelina Jolie,MATCH (bp:Person {name: 'Brad Pitt'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(aj:Person {name: 'Angelina Jolie'}) RETURN {movie: m.title} AS result
Create a Cypher statement to answer the following question:What languages are available in Inception?,MATCH (m:Movie {title: 'Inception'})-[:HAS_LANGUAGE]->(l) RETURN {language: l.name} AS result
